"Salie","MK14 EBR"
"Electricblue","Flash Hider for SMG"
"alookiiee","KRISS VECTOR"
"Sombrero","2x Aimpoint Scope"
"Fr1k","Military Helmet(Woodland Camo)"
"IamChappie","Motorcycle Helmet(Grey)"
"TouserSnake","Energy Drink"
"Goul","Quiver"
"yuck","Buggy"
"willylumplump","M16A4"
"Russianpride","Bandage"
"Xerriden","M16A4"
"MerrMan","Vertical Foregrip"
"Artful_Dodger","7.62mm"
"ZULUL","STUN GRENADE"
"Lygerlol","Stock"
"D3agl33",".45 ACP"
"flop","S686"
"Major_Ignorance","Gas Can"
"elitecasaj00","S1897"
"suntouch","M249"
"Barbarrossa","Military Helmet(Woodland Camo)"
"hyprstar","Motorcycle (w/ sidecar)"
"gabae","GROZA"
"ProductNV","KARABINER 98 KURZ"
"TOMMYRAGE","M416"
"NoGoN","CROSSBOW"
"Painkop","Quiver"
"James","VSS"
"AndyPyro","QuickDraw Mag for AR, S12K"
"DeadlySlob","2x Aimpoint Scope"
"HaZe187","15x PM II Scope"
"captcha00","Cheek Pad for Sniper Rifle"
"JamesFord007","MINI14"
"Soarz","AWM"
"Lngr","Adrenaline Syringe"
"1TheUnknown1","AWM"
"Theos","Flash Hider for Sniper Rifles"
"Karn","Suppressor for Handgun"
"MONTY","UMP9"
"Criolaus","Flash Hider for Sniper Rifles"
"JOIN_or_DIE","Med Kit"
"Ihazurpistola","Suppressor for Handgun"
"M5TNT","Bullet Loops for Kar98k"
"Travo","Suppressor for AR, S12K"
"Scottish_Mango","VSS"
"Lupin","Motorcycle Helmet(Green)"
"Greatnesss","8x CQBSS Scope"
"skinz_","CROWBAR"
"HazHaz","UAZ (Open Top)"
"Arct","M16A4"
"jorckeb","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"WHITY","Extended Mag for P9, P1911, P18C"
"JustJonesin","Extended QuickDraw Mag for AR, S12K"
"alsk","Compensator for Assault Rifles"
"TheLastNegro","QuickDraw Mag for Micro UZI, UMP9, Vector"
"cH4nBORBA",".45 ACP"
"YOUNGBAE","P1911"
"Shotwell","4x ACOG Scope"
"Curtis","Adrenaline Syringe"
"Issino","Tactical Stock"
"Noi5yboy","SMOKE GRENADE"
"zheming","QuickDraw Mag for Micro UZI, UMP9, Vector"
"Seismix","M24"
"Frolicer","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"DireGray","KRISS VECTOR"
"Soul","Bandage"
"Schussl","Red Dot Sight"
"ZurDitO","S686"
"E-rap","QuickDraw Mag for AR, S12K"
"SuckItEasy","QuickDraw Mag for Micro UZI, UMP9, Vector"
"POTATO-Wolfie","P92"
"Mcconnell","UMP9"
"namrog84","Cheek Pad for Sniper Rifle"
"summit1g","MOLOTOV COCKTAIL"
"BiH2g","SCAR-L"
"BoMaTa","Motorcycle Helmet(Grey)"
"StoneMountain64","UMP9"
"chiodoz1","Flash Hider for Sniper Rifles"
"pride_xd","Compensator for SMG"
"bongwateR","SMOKE GRENADE"
"SHORTY","Compensator for Assault Rifles"
"techne","Military Helmet(Desert Camo)"
"Demo4","Military Vest"
"DevilNDF","Extended Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"InvaderZIB","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Crooton","KARABINER 98 KURZ"
"Jackftw","Painkiller"
"HotForSenpai","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"HCJustin","GROZA"
"angrybeast96","KARABINER 98 KURZ"
"Nixer","Flash Hider for SMG"
"Invitica","Extended QuickDraw Mag for P9, P1911, P18C"
"basemint","Utility Belt"
"cHaoTic_gg","P1911"
"Fuego-","Extended Mag for P9, P1911, P18C"
"STim","Med Kit"
"smurfpatrol","AKM"
"natu","M24"
"Kimchibear","P18C"
"niceboy","2x Aimpoint Scope"
"Venorize","Holographic Sight"
"dragon","5.56mm"
"Micky","S12K"
"Cohh","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"MooningCat","Energy Drink"
"outc1der","UMP9"
"MareFesk","Extended Mag for AR, S12K"
"Issillien","UAZ (Open Top)"
"MrGrimmmz","MICRO UZI"
"herro_its_jon","Bandage"
"Ludification","SCAR-L"
"nicker17","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"Dekline","Dot Sight"
"Valliate","AWM"
"Brandon","4x ACOG Scope"
"Northernlion","Dot Sight"
"a_witty_name","KARABINER 98 KURZ"
"izako","Bullet Loops for S1897, S686"
"Weum00","Angled Foregrip"
"Rackit","Bullet Loops for Kar98k"
"iijeriichoii","MOLOTOV COCKTAIL"
"resty","Ghillie Suit"
"CookiesN","Military Vest"
"Poosyface","SICKLE"
"Poopbutt","7.62mm"
"theDukey","Tactical Stock"
"Bgizz1e","8x CQBSS Scope"
"Perlix","Suppressor for Handgun"
"TheRunningManZ","M24"
"Pikzen","2x Aimpoint Scope"
"Thraxinius","Med Kit"
"Soopa","Med Kit"
"marksmandan","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"royo","R1895"
"deliriumtremens","S686"
"GURGO-Pwnailia","Energy Drink"
"WorthlessSnypeR","Extended Mag for AR, S12K"
"JabirKuptar","Extended QuickDraw Mag for AR, S12K"
"Zackalope","S1897"
"NyxKrieg","UAZ (Open Top)"
"aurulieus","Tactical Stock"
"pwnDex","Motorcycle (w/ sidecar)"
"helG","AWM"
"AXEL-","Extended Mag for P9, P1911, P18C"
"Soulstate","MOLOTOV COCKTAIL"
"WalkingSun","Compensator for Assault Rifles"
"N-I-H-I-L","KARABINER 98 KURZ"
"SMii7Y","Stock"
"Scoobs","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"madFX","Suppressor for SMG"
"Skallyswag","Motorcycle Helmet(Grey)"
"EyeSeeYou","Motorcycle (w/ sidecar)"
"Hayz","7.62mm"
"DaNkS","QuickDraw Mag for AR, S12K"
"FearDVA","R1895"
"Aculite","AWM"
"SBogX","2x Aimpoint Scope"
"MadnessDiablo","Military Helmet(Desert Camo)"
"Motato","Motorcycle Helmet(Grey)"
"Euphoriaaaa","15x PM II Scope"
"NER0-","Extended Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Vykaax","UMP9"
"Mithrain","Spetsnaz Helmet"
"CleanDan","Extended Mag for P9, P1911, P18C"
"Kylank","Motorcycle (w/ sidecar)"
"monkycheez","Utility Belt"
"DrDisRespect","P92"
"Daggith","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"ItzFyre","Spetsnaz Helmet"
"KeefCollector","15x PM II Scope"
"Darkazer","Extended QuickDraw Mag for P9, P1911, P18C"
"AshTrayPotPourri","VSS"
"xJungleJimx","P92"
"drSbuttenham","15x PM II Scope"
"MKRR3","P1911"
"Flow","CROSSBOW"
"DatXcstasy","PG-117"
"STEVOLIVE","Motorcycle Helmet(Green)"
"wangmeimei","Flash Hider for Assault Rifles"
"RabidDiabetic","QucikDraw Mag for P9, P1911, P18C"
"MindfulSAMA","M24"
"Cuoj","Angled Foregrip"
"Slybel","Utility Belt"
"RoAnG","Motorcycle (w/ sidecar)"
"1HorseSizedDuck","Flash Hider for Assault Rifles"
"Farles","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Weak3n","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"Forsenlol","M24"
"DiMaschine","15x PM II Scope"
"TrippyGiraffe","S686"
"twitchtvDaZFPS","Med Kit"
"Eligorko","Dot Sight"
"Gorra","Bullet Loops for S1897, S686"
"falesh","M16A4"
"BlackWolves-nl","Utility Belt"
"BreaK","AKM"
"MadeInChinaa","Stock"
"Korsann","Flash Hider for Sniper Rifles"
"Tunacant","4x ACOG Scope"
"iQuitGaming","Suppressor for Handgun"
"Coldham","UMP9"
"JJHunter","Motorcycle (w/ sidecar)"
"ChadWhyNot","Motorcycle (w/ sidecar)"
"MeToRBOT","Police Vest1"
"Useless","Compensator for SMG"
"GloryJean","Suppressor for Sniper Rifles"
"ibiza","SCAR-L"
"Cezz","Utility Belt"
"Furor","MACHETE"
"Moreilator","Extended Mag for AR, S12K"
"Hanzawa","Flash Hider for SMG"
"Qwaba","Spetsnaz Helmet"
"lonelyroomrat","8x CQBSS Scope"
"jansonwang","Extended Mag for Micro UZI, UMP9, Vector"
"In_The_Heat","Ghillie Suit"
"aCiX","S686"
"WubyNubs","GROZA"
"LurkerLew","MINI14"
"chriszylstra","SCAR-L"
"Husimos","MOLOTOV COCKTAIL"
"Spud","Med Kit"
"J0hnG3il","MICRO UZI"
"BooLiT","Motorcycle"
"dEnYy","2x Aimpoint Scope"
"takita","Buggy"
"LaPooh","Buggy"
"bays_","SMOKE GRENADE"
"Knownstar","Military Vest"
"JimmyDemons","S686"
"OdinThor","PG-117"
"Limonc","4x ACOG Scope"
"dbz07","S1897"
"SilvioSantosDoCS","MINI14"
"DecentGuy","CROWBAR"
"ThisisPatty","UAZ (Closed Top)"
"Kill3rdart","MACHETE"
"PhreakinPhil","UMP9"
"Manpons","Ghillie Suit"
"Edberg","Extended Mag for P9, P1911, P18C"
"Unreality","MOLOTOV COCKTAIL"
"SkillzUNV","CROSSBOW"
"Castle1821","Extended Mag for P9, P1911, P18C"
"ninnnnnja","Extended QuickDraw Mag for P9, P1911, P18C"
"LanceBean","KRISS VECTOR"
"DreadedCone","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"PatHead","4x ACOG Scope"
"AkCuS",".45 ACP"
"NinjaKappa","Police Vest1"
"Xsess","Vertical Foregrip"
"Peter-_-","M249"
"ymkz","Extended Mag for P9, P1911, P18C"
"sezk0","Military Vest"
"Martin_Riggs_","M24"
"Nistua","8x CQBSS Scope"
"RaulD","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Trav","9mm"
"TwitchTV_Kylank_","Bullet Loops for Kar98k"
"s_k_y_e","Bullet Loops for S1897, S686"
"Rabbs","Compensator for Sniper Rifles"
"Tryhard","9mm"
"Haddow","Angled Foregrip"
"Glockked","UAZ (Closed Top)"
"AlbiinoAasi","PAN"
"GURT-Gurt","Vertical Foregrip"
"Darkness429","QucikDraw Mag for P9, P1911, P18C"
"GrassQ","Military Helmet(Desert Camo)"
"VikingTom","Painkiller"
"K3NST3","Extended Mag for Micro UZI, UMP9, Vector"
"Scoom","VSS"
"Syt0","Military Helmet(Woodland Camo)"
"Anthony_Kongphan","PG-117"
"Nexuss","Police Vest1"
"RaptorDaRaptor","Angled Foregrip"
"ninj4R","Extended QuickDraw Mag for AR, S12K"
"Cabled","Tactical Stock"
"Mastis","Ghillie Suit"
"Mokes95","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"antton500","MICRO UZI"
"Peezukka","Utility Belt"
"Aceht","Ghillie Suit"
"JENSON_R","Suppressor for SMG"
"carrotjh","Holographic Sight"
"LostAiming","Police Vest1"
"Stephoon","8x CQBSS Scope"
"Shazzlebot","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"Saliee","Spetsnaz Helmet"
"Walkthegreat",".45 ACP"
"Ironfingerz","Motorcycle Helmet(Green)"
"twitchtvDnBoom","Extended Mag for P9, P1911, P18C"
"Sacriel","M16A4"
"Talonlink","MICRO UZI"
"cpkdu","2x Aimpoint Scope"
"Beta","Flash Hider for Sniper Rifles"
"GeoTracker","AKM"
"BabyPenguins","Extended QuickDraw Mag for P9, P1911, P18C"
"ATH1337","Extended QuickDraw Mag for P9, P1911, P18C"
"krewllobster","Med Kit"
"Swigidi","SCAR-L"
"Moochaa","12 Gauge"
"Calz","8x CQBSS Scope"
"ADOUZ1E","VSS"
"shroud","AKM"
"b0ris_","Angled Foregrip"
"Fairlight","MOLOTOV COCKTAIL"
"Fam1ne","Flash Hider for SMG"
"punjistick","Angled Foregrip"
"DePreach","Motorcycle Helmet(Green)"
"Squirel","MK14 EBR"
"DapperDan","Flash Hider for Assault Rifles"
"Mutiny1021","Holographic Sight"
"CaptainHnnng","Dot Sight"
"neslepax","Buggy"
"iKarl","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"SOLIDFPS","12 Gauge"
"LucaEats","Red Dot Sight"
"rylict","Dot Sight"
"dexyBiceps","KRISS VECTOR"
"Heseon","MICRO UZI"
"KEJOW","Compensator for SMG"
"Eminence","Suppressor for Sniper Rifles"
"Blakz","Police Vest1"
"DrDisrespectLIVE","M249"
"Samwise",".300 Magnum"
"Kewin","Utility Belt"
"NotRon","P18C"
"Dooders","MINI14"
"LordBloby","Dot Sight"
"PacifaeTV","SMOKE GRENADE"
"Jawzy","Suppressor for Sniper Rifles"
"RobbeN0","KRISS VECTOR"
"TripleABooty","P1911"
"ZEON","Extended Mag for AR, S12K"
"VOST3","SICKLE"
"Cudtastic","Bandage"
"TisDaniel","MOLOTOV COCKTAIL"
"ChuckJammer","Adrenaline Syringe"
"McFistorino","9mm"
"inthechatlads","8x CQBSS Scope"
"Dadomdom","8x CQBSS Scope"
"Croclardon","15x PM II Scope"
"SillverS","Suppressor for Sniper Rifles"
"OncleDovid","P92"
"KingLothric","Med Kit"
"Janmer09","Ghillie Suit"
"Pain","Gas Can"
"Trick2god","Painkiller"
"DarK-BETRAYED","Military Helmet(Desert Camo)"
"twitch_Xaaae","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Kronix","Energy Drink"
"Pablo","Dacia 1300"
"Fuzzface","QuickDraw Mag for AR, S12K"
"georgecarlin","Extended Mag for P9, P1911, P18C"
"BigBeaverTV","PAN"
"RampantLionGamin","Bandage"
"Valerie","Extended Mag for AR, S12K"
"reudigekatze","AWM"
"Conceptor","QuickDraw Mag for Micro UZI, UMP9, Vector"
"Trumpelstiltskin","P1911"
"sanners","M16A4"
"TheDubs","7.62mm"
"lolRenaynay","Spetsnaz Helmet"
"Echo__","CROWBAR"
"Lowlux","QuickDraw Mag for AR, S12K"
"MrPlague","AKM"
"Nikkopai","GROZA"
"Marveon","Extended QuickDraw Mag for P9, P1911, P18C"
"Wafflecopter","4x ACOG Scope"
"Tojo","VSS"
"Xekk",".300 Magnum"
"eSprots_Charmin","P92"
"eDGe_Aus","Dacia 1300"
"Skuggmunk","Flash Hider for SMG"
"Immolator","Motorcycle Helmet(Grey)"
"INVU",".45 ACP"
"SugahFree","P18C"
"Respite","Adrenaline Syringe"
"avajaijai","MICRO UZI"
"MeeDeN","QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"GoldGlove","SCAR-L"
"woffel","S12K"
"Puhdado","UAZ (Open Top)"
"Utorak007","Adrenaline Syringe"
"Duende","Painkiller"
"Jabe","Red Dot Sight"
"VissGames","KRISS VECTOR"
"Dingleberry","Stock"
"FcFoxtrot","AKM"
"Phase_Two","Choke"
"Zamouie","12 Gauge"
"Dobro","PAN"
"Kyr0s","S12K"
"ENPURE","5.56mm"
"Jayze","Motorcycle"
"Frosticles","GROZA"
"kurjenmuna","P1911"
"SeboKnebo","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"ForgotMySword","Compensator for Assault Rifles"
"Bullsh1t","KARABINER 98 KURZ"
"ChimeraLUL","5.56mm"
"Crimat","8x CQBSS Scope"
"agentti004","QuickDraw Mag for Micro UZI, UMP9, Vector"
"Kylo_Katarn","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Winghaven","Compensator for Assault Rifles"
"fourstars","QuickDraw Mag for AR, S12K"
"Illuminaughtyx","Military Vest"
"Magniitude","2x Aimpoint Scope"
"Zarozz","Compensator for SMG"
"HonorSK","8x CQBSS Scope"
"XlorDixi","M416"
"Yarnballz","Dacia 1300"
"M4sterbaiter","Bullet Loops for S1897, S686"
"terby","Flash Hider for Sniper Rifles"
"peperek","MACHETE"
"ncla","Stock"
"Dz69","Stock"
"Deinjo","UMP9"
"FREQ_2M8O","Motorcycle Helmet(Grey)"
"Sodofknwodo","UAZ (Open Top)"
"Krayto","Cheek Pad for Sniper Rifle"
"TW1G","Extended QuickDraw Mag for P9, P1911, P18C"
"Taco5","Bandage"
"souleclipse","FRAG GRENADE"
"Romz","Flash Hider for Assault Rifles"
"MistaMooMoo","Stock"
"Billionaire","Compensator for Sniper Rifles"
"Hazekiller","Military Vest"
"Spajk","M249"
"Trinity_Seven","MK14 EBR"
"FergusKahn","QucikDraw Mag for P9, P1911, P18C"
"BwNeR","Flash Hider for SMG"
"Oncedark","Dacia 1300"
"BeoItachi","S12K"
"Mr-Kaizer","MACHETE"
"MaKaKowic","GROZA"
"FatOfTheLand","GROZA"
"Sw1tchTV",".45 ACP"
"JustMajkl","Compensator for Assault Rifles"
"Frosz","Motorcycle (w/ sidecar)"
"AmA-bd","Angled Foregrip"
"Eduzey","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"develex","QuickDraw Mag for Micro UZI, UMP9, Vector"
"CustardPie","2x Aimpoint Scope"
"channery","Tactical Stock"
"Rumbolt",".300 Magnum"
"DrLupo","Suppressor for SMG"
"DUP3S","R1895"
"CaotainHaddock","Compensator for Sniper Rifles"
"Sullypat","P92"
"mrdeadlocked","UMP9"
"ZORKIE","Military Helmet(Desert Camo)"
"RustyLouie","SICKLE"
"Syphur","Extended Mag for Micro UZI, UMP9, Vector"
"SmackaCheese","Suppressor for SMG"
"Casil","First Aid Kit"
"snejjjj","QucikDraw Mag for P9, P1911, P18C"
"MaschiNHO","Flash Hider for Sniper Rifles"
"Ravmar","S1897"
"camo1510","UAZ (Open Top)"
"Korso666","Suppressor for SMG"
"Gweedo","MICRO UZI"
"SuperMechaCow","S1897"
"Zoidm8","Dot Sight"
"pinkwithoutthei","Suppressor for AR, S12K"
"Grizz","Extended Mag for P9, P1911, P18C"
"SwiftyQue","SMOKE GRENADE"
"mazesc","Buggy"
"Punkduck","Quiver"
"GASGIVER","MICRO UZI"
"Arx4","Quiver"
"SolomonStoned","S12K"
"Gusty","Police Vest1"
"marsel","Tactical Stock"
"TraktorXD","Compensator for SMG"
"TheCobra","Energy Drink"
"Mercey","Dacia 1300"
"Liquidz","Extended QuickDraw Mag for AR, S12K"
"Aphromoo","Choke"
"Eikko","MOLOTOV COCKTAIL"
"FrostedBlakes","Extended QuickDraw Mag for P9, P1911, P18C"
"TheSnitzel","KRISS VECTOR"
"itzSwisher","Police Vest1"
"cornholio","S1897"
"greatCornholio","S1897"
"Woody2k","Compensator for Sniper Rifles"
"waschili","Extended Mag for Micro UZI, UMP9, Vector"
"Brav","Tactical Stock"
"Mazarini","Bandage"
"FAKER","SCAR-L"
"July","Extended Mag for Micro UZI, UMP9, Vector"
"July_","Ghillie Suit"
"Teayun","Compensator for Assault Rifles"
"JohnnyKing","First Aid Kit"
"Dreizo","SICKLE"
"Jexz","12 Gauge"
"Ciggzy","Cheek Pad for Sniper Rifle"
"VISS","7.62mm"
"CleanUpGuy","M24"
"AeChik06","Extended QuickDraw Mag for Micro UZI, UMP9, Vector"
"The1LmaoZedong","Tactical Stock"
"Italliano","R1895"
"Trencher","MOLOTOV COCKTAIL"
"Czechshooter","Military Helmet(Desert Camo)"
"Hard2FindGoodID","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Sneakystyle","UAZ (Closed Top)"
"OmniDestiny","FRAG GRENADE"
"TheNameIsJim","Suppressor for Handgun"
"Chorpy","S12K"
"EzSkillshot","Extended Mag for Micro UZI, UMP9, Vector"
"Interrogate","Adrenaline Syringe"
"tipsyfiend","Motorcycle Helmet(Grey)"
"therous","Extended QuickDraw Mag for M24, AWM, SKS, VSS, Mk14, Mini14"
"Lanceru","Ghillie Suit"
"Imperiousz","CROSSBOW"
